	active|dispossess|goods|minimal
පිෂ්ටලවය	amyloplast
ගුහාගෘහය	cryogenics|crypt
සංයුග්මක	conjugate
තොත්ත	innocent|tender
සමෘද්ධිශෘංගය	cornucopia
අපක්‍රියාව	harm|misdeed
ගිනිඅඟුර	cinder
දිරූ	carious|decadent
රිචලියානුවාදය	ritschlianism
කත්තුව	cut|dent|gab|incision|indent|nick|notch|tennon|tenon
නූර්තිය	play
බණ්ඩිකියත	cross-cut-saw
දවාල	day
පොස්සාව	fossa
ලෙවුන්	application|ointment
මැනන්	mannan
ශක්නූතාව	capacity
න්‍යච්ඡය	nevus
අභිප්‍රේරිත	motivated
සංවිලෙනය	confusio|confusion
කාඩයා	cad
අභ්‍යාගමනය	visitation
පලායාම්	desertion
වං	left|mortar|reached
ශීලවන්ත	virtuous
දීප්තිමත්	clear|aglow|bright|flaming|liquid|lucent|radiant|refulgent|sparkling|splendent|vivid|luminaire
විත	bit|cup|drill|victorious
මූර්ඡානාව	modulation
එසඳ	then
බීජපත්‍රය	cotyledon
වින්නැහිය	ruin
විපර්ය්‍යස්ත	inverse
ඩයපීනන්	diphenan
අඹරනය	muller
ජෛවප්ලාසමය	bioplasm
බෝගය	crop|crops
ප්‍රතිමානක	normative
ඒකධ්‍රැවය	monopole
පීඩනය	oppression|pressure|suffering
ව්‍යාප්තීකරණය	generalisation|generalization
ප්‍රේක්ෂාවලිය	spectrum
විසදෘශ	conflicting|disparate|incongruous|inequal|unparalleled
ගණ්‍ය	countable|enumerable
ජලවාෂ්පවිද්‍යාව	atmology
ශිෂ්ටීය	schistaceous|schistose
ලාභය	access|accession|acquirement|acquisition|advantage|attainment|behoof|benefit|concession|divvy|emolument|fruit|gain|income|interest|lucre|profit|surplus
විශාරද	accomplished|eminent|erudite|fearless|skilful|skilled
පිරිමිඇඟ	penis
මාදැල	beach-seine|seine
ළගන්නා	attractive|convincing|poignant
වෘක්ෂාකාර	arborescent|dendriform|dendroid
ටාමැකඩම්	tarmacadam
දළකාරයා	tusker
බලග්‍රහණය	coup
ක්‍රය	buying|purchasing|trade
ඇම්බ්‍රයිට්	ambrite
උට්ඨාන	rising
තාරකාවිද්‍යාව	astronomy
පිළිසැකසුම	re-adjustment
අද්‍රව්‍යවාදය	idealism
කැප්නොමීටරය	kapnometer
පිටස්තරයා	outsider
ජ්‍යාය	climax|chord|link
සංයෝජනය	combination|composition|fetter|fusion|mixture
සිල්වීන්	sylvine
පූර්වාහ්න	morning
ඉන්නල	coleus
ආකාරය	appearance|aspect|attitude|build|cast|character|contour|fashion|fit|form|forma|formation|frame|guise|kind|likeness|look|make|manner|mien|mode|pattern|respect|semblance|shape|similitude|transfigure|type
කඟවේනා	unicorn
කාරණාව	fact
විතංශය	menagerie
විනිබන්ධනය	monograph
දිලික්තය	delict|delictum
අප්‍රිකා	afro
ප්‍රතිවිපාකය	consequence|effect
නයිට්‍රීහරණය	denitrification
සෑහෙන	adequate|ample|appropriate|commodious|competent|convenient|decent|eligible|enough|enow|fair|fit|goodly|important|reasonable|respectable|satisfactory|square|sufficient|suitable
කිරිච්වය	dagger|daggger|dirk
මූලසත්ව	protozoa
ජාතිමාමකයා	patriot
මලභක්ෂණය	scatophagy
විතන්‍ය	extensible
සබ්මැරීනය	submarine
අසල්වැසි	contiguous
කිසිවෙක්	anyone|something
සදාකාලිකත්වය	eternity
අකිංකර	insubordinate
පංගුපේරුව	contention
තහවුරුකර	corroborative
තුලනීක්ෂිත	assessed
පිරිසුදුකම	cleanliness|cleanness|fineness|tidiness
පාසු	easy
මුත්තා	grand-father|sire
සාමවාදය	pacifism
ශ්‍රිතීය	functional
බීකරය	beaker
කඩේ	market|shop
දරසෑය	pyre
ලවනත	lip
රිදීකරුවා	silversmith
තීරකය	decision
දුරමානය	perambulator|telemeter
මාතෘකාව	caption|head|heading|inscription|subject|test|theme|title|topic
බ්ලැන්කේට්ටුව	blanket
සත්‍යතාව	authenticity|fidelity|veracity
වෘක්ෂජ	arboreal
ඇස්බැම	eyebrow
ක්‍රොමටින්	chromatin
කමනීය	appealing|attractive|beautiful|charmful|charming|desirable
මූලෝත්පාඨනය	extermination
මුණය	face|front|surface
මධ්‍යධරණි	mediterranean
සුදුසුකම්	merits|qualification|qualifications
ස්ත්‍රිලෝලයා	womanizer
එතැනින්	thence
ටෙලිප්‍රින්ටර	teleprinter
කවුඩුපණික්කියා	leucopygialis
අවපසළොස්වක	newmoonday
සමතුලතාව	equilibrium
අතිවිශාරද	cyclopaedic
මිඩංගු	delayed|engaged
සම්මිශ්‍ර	complex|compound|mixed
ස්වකාමුකත්වය	auto-eroticism
මේල්ස්ට්‍රම්	maelstrom
මනවා	allay|crush|extrude
වෙඩිමුරය	fusillade|round|volley
ජයග්‍රාහක	conquering
රවිකිඤ්ඤාකාර	pandurate|panduriform
හ්වා	glossal
උරෝස්ථිය	sternum
දුසිරිත	misconduct|vice
සංයෝගාත්මක	synthetic
සම්මෝහය	bewilderment|confusion|stupor
දුෂිත	corrupt|polluted
වාහක	carrier
සුංගම්	tax
ත්‍රාසකයා	terrorist
ද්වෛත	dualistic
සුපිරිසිදු	sacred
චිතණ්ඩවාදියෝ	sophists
ඇපොලෝනියානු	apollonian
ඇඟලුම්කම	attachment|intimacy
ශ්‍රමරේඛය	ergograph
නීහාරීකණය	nebulization
ව්‍යාජවඳරෝමය	pseudoparaphysis
හරිද්‍රා	yellow
ඉස්හොරි	dandruff|scurf
ප්‍රතිවිරුද්ධරූපී	enantiomorphic|enantiomorphus
රෝගකාංසාව	hypochondria
නෙපෙන්තින්	nepenthin
මහාචලගොනීඩිය	macrozoogonidium
පෑන්තලය	nib
නවමුව	refresher
පිළිසකස්වාදය	reformism
අයබර	payload
බෝලාව	bola|bolas
හින්නාරං	mandarine
පුනප්‍රකාශය	restatement
උදාවීම	ascendant|dawn
ගැඹුරු	abstruse|deep|profound|throaty
වැසිපොද	drizzle
මීසොකලිලය	mesocolloid
අබිං	opium
පශුත්වාරෝපණය	theriomorphism
සමරූප්‍යතාව	similarity
කෙරෙන	nightly
මලයනය	fader
කෙත	corn-field|field
ආගන්	argon
දශසජලය	decahydrate
ජායෛකගෘහික	gynomonoecious
පුද්ගලාධිෂ්ඨානය	personalidealism
කේන්ද්‍රනය	centering
කාලේක්ෂය	chromoscope
තදකුරුව	tightner
තැන්පත්කරු	constituent|depositor
අවපත්‍රය	cataphyll|pale|palea|palet
ප්‍රියජනක	cosy|cozy
කරවිල	bitter-gourd
කොපුව	capsule|case|casing|cover|envelope|sheath|sheathing|shell
ක්ෂීර	milk|milky
තුච්ඡ	abominable|arrant|banal|base|cheap|common|contemptible|cursed|curst|despicable|disreputable|indifferent|low|mean|misbegotten|miserable|niggling|paltry|poor|puerile|ribald|rotten|vain|void
ලජ්ජාකාරයා	prude
බුරුසුව	brush
ඉතාලිකාරකයෝ	italianizers
ත්‍රිත්වසංයෝගාධිපතියා	triumvir
කැලොමල්	calomel
සීහ	lion
පසක්නා	patent
රිදිවන්	silvery
කතිරය	cross
සමථ	calmness|tranquility
ගරුලාලපනය	barylalia
චිත්‍රාගාරය	studio
ලැක්ටොබැසිලය	lactobacillus
උපරාජයා	regent
මාලිගාව	palace
පෙතිගැසීම	carving
වේදනස්වාදික	algedonic
මරක්කලයා	moorman
කිලෝග්‍රැමය	kg
කලකම්මැළි	lazy
නොතරම්	limitless|unsuitabl
වනචාරී	brutal|savage|wild
කටුවල	see
ඨානාන්තරය	position|post
ප්ලාස්මච්ඡේදනය	plasmolysis
ප්‍රතිව්‍යත්පන්නය	antiderivative
කුලීබදුකාරයා	tenant
ප්‍රතිපීඩනය	courterpressure
උලැගිකම	agility
දුෂ්ට	atrocious|bad|black|criminal|cursed|curst|dark|draconian|evil|felonious|ill|iniquitous|malevolent|malign|mean-spirited|mischievous|oppressive|perverse|profane|reprehensible|reprobate|rotten|sinful|sinister|snaky|tyrannous|ulterior|ungodly|unnatural|unprincipled|unrighteous|unscrupulous|vicious|vile|wicked|wrong
හ්වලාකාර	liguliform
උන්මත්තක	crazed|lunatic
පෙන්ටෝස්	pentose
පන්දම්කාරයා	toady
ප්‍රතිප්‍රක්ෂේපණය	reprojection
බහිස්ථ	extrinsic
ප්‍රොස්ටිග්මින්	prostigmine
වුවන්	face
ඔල්වරහඬ	applause
විවාරණය	deliberation
පැහිනියම	traffic
කණිෂ්ඨ	junior|puisne
ඉලිප්පෙමින්	afloat
ඩිස්ට්‍රිබියුටරය	distributor
ද්විභාක	bipartite
ගණ්ඨිවිජටනය	deproblematization
අපරිමේයතාව	irrationality
සමානකම	co-ordination|affinity|agreement|conformity|likeness
ගුවන්නැව	aircraft|airplane|airship
පොනෝග්‍රෑමය	phonogram
ආසක්තක	adhesives
බැරියෝනය	baryon
ඉනංගුව	compatibility
වද	injury|pain|punishment
පරළු	bran|crude|pollards
සමීකරණය	assimilation|equation
කැසෙයින්	casein
පැවතෙන්නෝ	descendents
බහුපංක්තික	polystichous
පවරනය	allotter
දිවිරීම	oath|swearing
යෙන්	yen
බෝක්කුව	arc|arch|culvert
පාරපුමණුව	paraspermatium
ලාලසාව	passion
අරමුණු	aim|ends
සියලු	all
ඛෙදය	grief
කිලිමාලය	haemorrhage|hemorrhage
නොවිතර	immeasurable
අඩුපාඩුකම	imperfection|limitation
කැකෝනය	kakon
අධිපතිකම	command|headship|lordship
අල්පවර්ණය	tinge
උද්ගෝෂණය	clamour
වාතව්‍යාප්තතාව	anemochory
විමුක්තිදායකයා	liberator
ළොඹුව	clog|log
උපහටන	victimisation
අපවාහි	efferent
නිර්යුක්ත	disjunctive
අනුග්‍රහපූර්වක	preferential
දෙරණ	eath
අනුභවෛකවාදය	empiricism
සංදර්ශකවාදය	representationalism|represontationism
ජෝඩු	couple
සන්නායකය	conductor
ලිත	almanac|calendar|fine
කාබන්	carbon
භුජය	arm|base
ශාන්තතාව	easiness
ප්‍රේරතාව	inductance
විධවාව	widow
ආයාචක	plender
ඊස්ට්‍රස්ජනක	oestrogen
භාවක්‍රියාපදය	gerund
උණ්ඩුකය	caecum
පළඟැටියා	locust
අමුක්කරා	somnifera|withania
උපලාක්ෂණික	attributes
දුක	dole|dolour|grief|sorrow|suffering|trouble|woe
හිදස	cleft|opening|space
ප්ලාස්ටොයිඩය	plastoid
සිස්ටෙයින්	cystein
සැණකෙළිබිම	circus|cirque
මනමාලයා	beau|bride-groom|bridegroom|spark|swain
උගුළ	snare
දුඹුරු	brown|brownish
නැකත්කරුවා	astrologer
බ්‍රිතාන්‍ය	britannic|british
ස්තලය	stull
ඡේක	erudite|learned
තුන්දිය	navel|ventral
නිතර	alway|always|constantly|frequently
පණිවුඩකරුවා	courier
කෘෂිපාංශුවිද්‍යාව	agrology
පක්ෂපාතී	biased|biassed|partial|preferential
ඡිද්‍රය	defect|fault|fissure|foramen|hole|pore
ප්‍රායෝගික	applied|experimental|practicable|practical
ප්‍රතිශතකය	percentile
අදම්‍ය	incorrigible|indomitable|perverse|uncontrollable|ungovernable
නොවටින	worthless
මිනීරථය	hearse
ඩොලමයිට්	dolomite
රැහැණ	cord|leash
අත්පිටපත	codex|manuscript
හැළීම	lawning|sifting
අපරිච්ඡින්න	endless|unlimited
පැකිලෙනවා	faff|falter|shilly-shally
අර්ග්	erg
කවාටය	door|window
ස්වදේශාභිමානියා	patriot
සමාභාරය	aggregate
අභියෝජනාව	resolution
ලෙස්සනවා	slip
නාලය	canal|duct|pipe|tube
මර	death
සරල්	curled|winkled
පාලිය	dance|line|pali|rite
ධර්මාධිකාරය	judiciary
සෙස්ටෝඩ්	cestodes
අතියතතාව	indeterminancy
කෙඳිරිල්ල	murmur|muttering|quaver
විකිණීම	sale
පදිංවය	domicile|dwelling|residence
තොට	ferry|ford|port|quay
පට්ට	bark|low
වර්ගජ	quadratic
ආකල්පායනය	attitudinaring
මෙසියස්	messiah
ෂඩස්‍රය	hexagon
මානව	anthrope|human
කඩතුරාව	curtain|screen
මෘගයා	beast|brute|deer
ගිම	heat|summer
පෙරටු	front
පෙට්‍රල්	gasoleine|gasolene|petrol
ගැතියාව	subservience|subserviency
කේශාකාර	capillaceous|hairy
ෂට්	six
පදරචනාව	phraseology
පැවතුනා	abode
පක්ෂ්මධර	ciliated
ජන්මපූර්වක	antenatal
අවමංගල	sepulchral|unfortunate
සමහරෙක්	some
උපමාකථාව	fable
අර්ථවිචාරය	semantics
වානරාභ	pithecoid
අර්ධනිශ්වත	semi-definite
අසාත්මිකතාව	allergia|allergy
ඇට්ලසය	atlas
යම්	any|certain|some
ඇත්දළවන්	eborinus|eburneous
පොසොලානා	pozzolana|puzzolane
කෝසීකනය	cosec|cosecant|cosecent
සාරනවා	dig
දියවගාව	hydrophonics
සංකුවතය	constricted
එෂලිත්ත	echelette
මේක	this
සම්භෝග	enjoyment|pleasure
චර්මශිල්පය	taxidermy
පූර්වලක්ෂණය	preclude|presage
සමීපව	close|akin
නායක	commanding|leader|leaders|leads|protagonist
දකිනවා	aspect|behold|discover|distinguish|notice|perceive|remark|see|sight|spot|view
ගංතොට	ferry|ford
සම්බීජපත්‍රික	isocotylous
අශුභදායක	premonitory
උපාර්තය	addition
අතරක්නැති	immediate
අමදනවා	sweep
අදෘශ්‍ය	imperceptible|invisible|unseen
හුරුපුරුදුකම	familiarity
මූනත	obverse
ඉලිප්සාභය	ellipsoid
බලාත	balata
කුරුණෑ	elephant
රක්තවර්ණ	aglow|flaming|incarnadine|ruby|sanguine
ලගුළ	clavule
පැවතීම	currency|existence
අල්	mute|stopped
පාර්ශ්වකරු	party
හුන්	arid|empty|seated
ස්ථාපකයා	founder
නැවියෝ	crew
මූසිකනාසක	rodenticide
ප්‍රතිවාක්‍යය	antilogism
ස්ථානමාරු	transfer
සිද්දාන්තය	theory
සර්වසාධාරණ	catholic|impartial|universal
පුබ්බර	callow
කල්පිරීම	maturity
ආත්මමර්ත්‍යවාදියා	mortalist
ඛහිර්ජන්‍ය	exogenetic|exogenic
හූදී	good|virtuous
නූගෝලය	cenosphere
හංඅඩයාලම	tattoo
මිතස්ථායීතාව	metastabilty
පිරිමුදනවා	redeem
අපරිශුද්ධ	corrupt|impure|unholy
කැකොක්සෙනයිට්	cacoxenite
පහසනවා	palp|palpate
බන්ධනීය	obligatory
ස්නායුචකිතය	nervousness
සෙම්ගෙඩි	tonsil
ඝනාලේපය	impasto
මයික්‍රොප්සියාව	micropsia
සිගොමිසෙටේස්	zygomycetes
නෞතල	carinal
සහාන්ත	coterminal
පත්‍රය	billet|frond|leaf|paper|sheet
පුනර්ව්‍යාප්තිය	redistribution
ප්‍රරෝහ්‍ය	gorminable
කිමිදින්නා	diver
තටය	dock
නුදැල	gauze
දූරඡායාරේඛනය	telephotography
අත්පොත	codex|handbook|manual|pocket-book|vade-mecum
දුහිතෘ	daughter
කලාපකරණය	zoning
විමසන	cogitative
නිසර	infertile
ප්‍රතිශීතනය	regelation
දිගැළ	canali
ගැටෙනවා	clash|collide|brush|conflict|hit|osculate|touch|waddle
සම්මුඛය	anastomosis
ඝනවීම	thickening
අස්ථීරබව	dubiousness|instability
සුංක	tax
ඇහිළුම	pick-up
ප්‍රකාශචාලක	photokinetic
නේරුං	nehrung
සයිමොජන්	proferment|zymogen
රිසීවරය	receiver
මාතෘපිතෘත්වය	parentage
තණ	grass|grasses
විචල්‍ය	variable|variables|variant|variate
මහවත	broadway
තිස්ස	tissamaharamaya
සාර්ථක	efficacious|successful|sucessful
පත්කීලය	spline
රික්ථවාරණය	bequest|devise
නිවේෂණය	location
වීණා	violin
නුපුරුදුකාරයා	tiro
සැලසුම්කරුවා	draughtsman
නිවැසියා	inhabitant|inmate|resident
කයිරුව	buttress|cuffing|plinth
මුවමද	musk
වර්ණය	caste|color|colour|colouring|complexion|dye|letter|stain|tone
ධ්‍යානසුඛය	ecstasy
කේවෙල	bargain|bargaining
පාරදෘශ්‍යතාව	transparence|transparency
ස්ථාත්‍රමිතිය	stadiometry
සිහිකරනවා	remember
ලැටරයිට්	laterite
තුවැටිය	scape
ඉරිතැළීම	cracking
උෂ්ණත්වමාන	thermometric
ආසනික	arsenical
ද්විප්‍රකාරත්වය	duality
සෝරත	humble|kind
කෙණ්ඩ	calf
ක්‍රමිකත්වය	methodism
ලොම්බා	toothlessperson
පාත්	below|down|low
පාගල්	bottoming
වමියාව	nausea
ග්‍රන්ථීය	gland
යුක්තියුක්ත	lawful|legitimate|reasonable
සවරිය	wig
ද්විතල	dihedral
මිශ්ර්ය	miscible
ආමූත්‍රලය	enuresis
ගැස්සීම	bump|hitch|jar|jerk|jolt|shock|thumping
දෘෂ්ට	seen
කොතළය	ewer|pitcher
සකර්මක	active|transitive
ධීතෘ	daughter
අනුශීර්ෂණය	capitation
යටත්වැසියා	subject
සරාගත්වය	eroticism
අද්‍රාව්‍යමය	incorporeal
නේවාසිකයා	boarder
අතිවෘද්ධිය	hypertrophy
ශාස්ත්‍රාලවාදය	academicism
පිල්ලිය	charm|zombie
පොතිත්ත	pamphlet
රං	gold
විල්ලැගි	lacustrine
ප්‍රෝටැක්ටිනියම්	protactinium
උපහැරණය	allegory|emblem|epigram|example|fable
ලපියේස්	lapies
ගැටැති	warty
පුනරුදය	renaissance
ප්‍රජ්වලනය	brilliance|conflagration|lustre
විශ්ලේෂය	disintegration|resolution
රොම්	rom
ඊස්ට්‍රින්	oestrin
විකුණුම්කරු	seller|vendor
පිච්චෙනවා	burn
නොසැඟවුණු	blatant
ප්‍රවෘත්තිය	account|action|anecdote|budget|news|story|tale|topic
සමවත්තතාව	equanimity
අවසරය	clearance|assent|authority|chance|charter|compliance|concession|consent|excuse|leave|liberty|occasion|option|permissible|permission|sanction|sufferance|ticket
බෙහෙත	curative|cure|drug|medicine
අධිපත්‍රය	warrant
ප්‍රභින්නතාව	distinctness
උපාධිශිෂ්‍යයා	undergraduate
කඩපොළ	bazaar
ගල්ගොඩ	mound
කිට්ටුවීම	access
වජ්‍ර	diamond
වියනවා	cook|weave
ලොප්කරය	defeasance
පිපිරවීම	blasting
බයිසිකලය	bicycle|bike|cycle
සුලභ	accessible|clichetic|common|generous|hackneyed
ද්විධාකරණය	dichotomy|disintation|disproportionation
මාක්ස්ධර්මය	marxism
අලුමුසුව	breakfast
මූලාශ්‍රය	source
සමකාමුක	homo-erotic
ප්‍රතිවිරෝධය	contradiction|contrast|opposition|resentment|rivalry
හබක	trap
කට්ටකුමංචල්	frankincense
බලතඩිය	mace
දියර	fluid|liquid|water
වකුගඩුව	kidney
කුමාරිච්ඡදය	hymen
පිටපොත්ත	cortex
ප්‍රරූපය	type
ධූනය	succussion
දුෂ්කෘතිය	dysfunction
ස්වේදනය	diphoretic|perspiration
එකතුවූ	accumulated
සොයාගන්නවා	get|quarry|spot
ටබයිම	turbine
අමූර්තිවාදය	idealism
බහුශාඛය	pleiochasium
මල්ල	athletic|bag|basket|wrestling
මූලාංකය	factor|multipier|zero
සමානුපාතිකතාව	proportionality
අන්තෝකන්තුදාහය	endocarditis
හයිඩ්‍රේස්	hydrase
විදුම	hole|piercing|puncture
අපුද්ගලවාදය	impersonalism
බූමිතෙල්	kerosene
ස්ථූණය	stele
නින්ද	rest|sleep|slumber
අනුඇල්පයින්	alpestrine
වෛෂයික	objective
උළු	brick|tile|tiles
හිමෙනොලිකෙන්	hymenolichen
අත්‍යාචාරය	supererogation|superstition
වහ්නි	fire
ජෛවප්‍රජාව	biocoenosis
පාතය	fall|node|ptosis
ග්‍රැමාණුව	mole
පලංචිය	scaffolding
සාමවාදියා	pacifist
ලබ්ධ	realised
මාරුව	change|exchange|shift|transfer|transposition
එක්සොඑන්සයිම	exoenzyme
නිසැදිය	frequency
ලිංගරූපය	phallus
ශටකපට	fraudulent
වංග	bengali
සැස්ටෘන්‍ය	sastrungi
සන්නිශ්‍රය	association
සූල	spike
මානවාභයා	hominoid
මහේච්ඡාව	ambition
හෙළාදකිනවා	disdain
නෞපතියා	captain|skipper
සම්ප්‍රාප්තිය	appearance|arrival
පරිණාමී	evolutionary
අනුවිකිරණ	diadromous
හඟ	horn
වෘත්තය	circle|measure|metre|tune
අධිවාචකයා	advocate
නවජයා	newborn
නිපැයුම්	products
පෙවිය	draught
තිරෝගුරුත්වාවර්තනය	plagiogeotropism
අප	away|dis|mis|off|us|wail|MIS
අධිමාන	hyperdimensional
පිල්ල	ring
බිබිළ	blain|blister|blisters
පාරඥෙයය	diagnosis
චන්ද්‍ර	lunar|moon
උභයාවේගිකතාව	ambivalence
සමූලෝත්පාටනය	eradication
ප්‍රතිගාමි	regressive|retrograde
ඩාලය	ramus
බහුකර්ෂණය	multivalence
අප්‍රේල්	april
ප්‍රපාති	caducous
අසංරක්ෂත්වය	anaphylaxis
ප්‍රවාරය	mantle
ව්‍යථජනනය	pathogenesis
පරමාදර්ශනය	idealize
සුපෝෂකනය	eutrophication
යෝගය	anastomosis|conjunction|insertion|join|mixture|practice|symphysis|union
ප්‍රතීපායනය	regression
අනුසැරියා	emissary
උපප්‍රමේයය	corollary
උරණ	angry
ආදියෙහි	erst|erstwhile
මයික්‍රෝනය	micromillimeter|micron
ට්‍රාන්ස්පෝමරය	transformer
පාෂාණජනනය	petrogeny
වියහියදම්	exenditure|expenses
ජන්මය	birth
ප්‍රයෝගකාරයා	dodger|racketeer|scoundrel|trickster|twister
උසබා	bull
සල්පිල	fair|shop|stall
ව්‍යාජඅග්‍රස්ථ	pseudoterminal
දරුගැබ	pregnancy
ප්‍රෝටෝනය	proton
නාමනිඝණ්ඩුව	nomenclature
හැඩගස්සනවා	cast|chasten|mould
හරකරනවා	debit
අප්‍රාධිකාර	unauthorised
අවභාණ	pejoritive
අප්පා	papa
මූට්ටුකඩ	lap
සළා	whiripool
කොමදෝරු	commodore
ආදෝලනය	pitch
යාළුකම	amity
විවැටූ	pivoted
සබා	actual|true
කුන්දුරු	frankincense
අනුපීඩකය	sub-press
වෙළෙන්දා	dealer|merchant|seller|stockist|trader|vendor
මාසවාදය	maoism
සාගත	famine
සමකිලතාව	homostyly
ගහගන්නවා	fight
අසංස්ථිතතාව	inconsistency
ප්‍රජා	civic|communal
ස්ථීතිකය	statics
වඳමලාව	cryptoblast
ධාතුව	element|matter|metal|radix|relic|root|substance
උපලක්ෂණාමක	attributive
තැව්කඩ	element
විභවමාණය	voltammetry
උණසුම	warm
ප්‍රතිවිසූවිකා	anticholerea
අන්තහ්කේන්ද්‍රය	in-centre
වෛරය	animosity|animus|antagonism|antipathy|enmity|feud|hate|hatred|hostility|spite
රසහීන	inartistic
ජල්පනය	babble|prattle
ඌයි	oh.
පටබැඳිනාමය	title
ප්‍රත්‍යාසාදනය	re-infection
චීනකණ්ණාඩිය	telescope
ඊළ	asthma
මස්තිස්කිකය	cerebellum
හූරුවලග	pigtail
වනවාසියා	forester|wood-man|woodsman
එලිසමය	rhyme
තත්ත්වවිචාරය	philosophy
ස්ථානාධිපති	officer-in-charge
ආක්‍රමය	boss
පස්වරුව	after-noon|afternoon
අධ්‍යාරෝපණය	imputation
ක්‍රියොසෝට්	creosote
වානී	speech
හවුළනවා	collect|gather
ඇනිසිල්	anisyl
අවසාදය	exhaustion
බහුභක්ෂකයා	gourmand
කතික	aliqnot
දබරාව	goblet
මිනිස්වග	mankind
රොලය	roller
අදෘඩ	non-right
සර්වප්‍රකාරයෙන්	all-round|everyway
ජීවිකාව	livelihood|occupation
මාර්ජකය	stump
ප්‍රතිජීවක	antibiotic
ක්ෂුද්‍රශිලා	microlith
අරක	that
චතුස්තල	tetrahedral|tetrahedronal
පුර්වාපර	antero-posterior
භාන්ඩාගාර	exchequer
උසකට	aheight
වළය	bangle
සයනොපිල්	cyanophyll
බැරි	difficult|impossible|poor|sick|unable
උඩුබැලි	supine
දණ්ඩායනය	condemnation
සමස්වරත්වය	harmony
කෘමිබහුල	wormy
වාර්ෂිකය	annual|annuity
තාරස්වරය	alto
ස්තරගෝලය	stratosphere
පරාවලයික	parabolic|parabolical
ශිල්පියා	artificer|artisan|artist|artiste|craftsman|hand|handicraftsman|mechanic|smith|technician|tradesman|workman
අනර්ථ	baleful|evil|harmful
පෙරත්ත	entreaty
නැලියුම	formication|twitching
ද්විමේයය	homograde
කැවිලි	atables|snaks|sweets
අහිලග්නතාව	adnascens
මුදුනා	leader
ප්‍රදීපාලෝකය	illumination
ව්‍යාප්තවාදය	expansionism
ගිමන්හල	resthouse
කොටා	dwarf
අනුබදුකරු	underlessee
අනභිමත	unacceptable
නාමමාත්‍රවාදය	nominalism
සැපුවා	bit
අතිභූෂිත	garish|gaudy
සුරතල්	babyish|childish|darling|fond|fondle|pet
නරඹන්නා	spectator
එකලා	claustral|isolated|lonely|solitary
කොවුලා	cuckoo|nightingale
බබළනවා	brighten|flash|shimmer|shine
ළපැත්ත	bosom|breast|chest|heart
රූපික	figurative|formal
යාදිනී	prayer
ඇරියුම	call
අල්බේදෝව	albedo
විෂමරන	antidotal
නියෙදීම	engaging
මාතුලවාසය	avunulocal
ට්‍රුගකැන්තින්	tragacanthin
සාගර	ocean|sean
තීරුබදු	duty|tariffs
අගයනවා	appraise|evaluate
කෙලෙස	how
බබා	babe|baby
විසිරණය	diaspora|scatter
වලක්නය	fender
ග්‍රහලෝකාගාරය	planetarium
සමකය	equation|equator|equivalent|par
ගුණ්‍යය	multiplicand|multiplication
ද්විදර්ශ	dichotypic
අබලි	damaged|feeble|waste|weak
අහංතාව	egoism|egotism
ආකලිත	addend|addendum
වහවැටෙනවා	frequent
සැත්කම	operation|surgery
කුරලෙඩ	rinderpist
පළුපත	oar
ආදානග්‍රාහී	hidebound
යථාස්ථ	intact
ලැක්ටේස්	lactase
සමපේක්ෂාත්මක	speculative
රාජ්‍යෝදය	reign
දන්තාකාර	dentate|dentoid|odontoid
භීමරූපියා	monster
වෘක්ෂ	tree
කලකිරුණු	despondent|disappointed|discontented|sour
කාරණවාව	causal
ආත්මීයවාදය	subjectivism
නමස්කාරය	adoration|obeisance|reverence|salute|worship
ගණිකාවාරය	prostitution
හොඬවැල	proboscis|trunk
න්‍යායානුසාරී	logical
පෙනහැල්ල	lung
ඒශොප්	echoppe
ඉගිලුනා	flew
අරෝධකය	buffer
පරෝපදංශ	parasyphilis
අක්‍රමිකතා	irregularities
විමුක්තිය	absolution|emancipation|liberation
ජානුරූපී	geniculate|kneed
දෑතහුරු	ambidexterous
සාර්	czar
එලවනවා	drive|impel
කර්ණාකාර	auricular|auriculare
එනැමල්	enamel
පුරාණෝක්තිවේදය	mythology
පූතිනාශක	antiseptic
අඩුලුහුඬුකම්	shortcomings
සමීකරණ	equation
නොදියුණු	backward|underdeveloped
ප්ලාස්මබන්ධ	plasmodesmic
ව්‍යය	destruction|expenditure|loss|refuse
අධිසංයුග්මනය	hyperconjugation
තෙලිකම	brushwork
උත්සර්ජනය	capitulation|dissipation
කාවැටෙනවා	fight|quarrel
වලිත්ති	varnish|wattle
ඉයෝසීන	eocene
අතිථීභීතිකාව	xenophobia
තෙස්තමේන්තුව	testament
රීතිය	clause|custom|formula|genre|method|mode|practice|rule|style|system|usage
මිරිස්	capsicum|chili|chilli|chillies
ලස්සන	beauteous|beautiful
ඔද	strength|vigour
කෘෂ්ණතාව	melanism
තුන්දොස්	wind
අනතුරුදායක	dangerous|poisonous
රැස්වළල්ල	halo
පිටත	beyond|outside|without
මන්දගාමී	slow
විඥානය	conciousness|conscientiousness|consciousness|science
දුස්සංගමය	discord
ප්‍රතිරෝධකය	resistant|resistor
මුගුර	club|bludgeon|cudgel|truncheon
තක්කඩි	knavish|raffish|rascally
ධීර	self-collected|staid|stalwart|valorous
විභේද්‍ය	severable
අනාචාර	immoral|licentious|light
වෙරළබඩ	circumlittoral|coastal|littoral|maritime
ස්පෙනොප්සිඩය	sphenopsid
